v8-version,4,5,103,33,0
code-creation,Builtin,6,0x252c5c81aa00,134,"LoadIC_Getter_ForDeopt"
code-creation,Stub,2,0x252c5c81aaa0,968,"NameDictionaryLookupStub"
code-creation,Builtin,7,0x252c5c81ae80,1037,"KeyedLoadIC_Megamorphic"
code-creation,Builtin,7,0x252c5c81b2a0,1033,"KeyedLoadIC_Megamorphic_Strong"
code-creation,Builtin,9,0x252c5c81b6c0,136,"StoreIC_Setter_ForDeopt"
code-creation,Builtin,10,0x252c5c81b760,118,"KeyedStoreIC_Initialize"
code-creation,Builtin,10,0x252c5c81b7e0,118,"KeyedStoreIC_PreMonomorphic"
code-creation,Stub,2,0x252c5c81b860,1822,"RecordWriteStub"
code-creation,Stub,2,0x252c5c81bf80,1804,"RecordWriteStub"
code-creation,Stub,2,0x252c5c81c6a0,1786,"RecordWriteStub"
code-creation,Stub,2,0x252c5c81cda0,796,"RecordWriteStub"
code-creation,Stub,2,0x252c5c81d0c0,1805,"RecordWriteStub"
code-creation,Builtin,10,0x252c5c81d7e0,3020,"KeyedStoreIC_Megamorphic"
code-creation,Builtin,10,0x252c5c81e3c0,118,"KeyedStoreIC_Initialize_Strict"
code-creation,Builtin,10,0x252c5c81e440,118,"KeyedStoreIC_PreMonomorphic_Strict"
code-creation,Builtin,10,0x252c5c81e4c0,3030,"KeyedStoreIC_Megamorphic_Strict"
code-creation,Builtin,4,0x252c5c81f0a0,463,"FunctionCall"
code-creation,Stub,7,0x252c5c81f280,381,"KeyedLoadICStub"
code-creation,Builtin,4,0x252c5c81f400,499,"FunctionApply"
code-creation,Builtin,4,0x252c5c81f600,499,"ReflectApply"
code-creation,Stub,2,0x252c5c81f800,199,"CallConstructStub"
code-creation,Builtin,4,0x252c5c81f8e0,333,"ReflectConstruct"
tick,0xb49f40,20951,0,0x0,4
code-creation,Stub,2,0x252c5c81fa40,430,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,2,0x252c5c81fc00,546,"InternalArraySingleArgumentConstructorStub"
code-creation,Stub,2,0x252c5c81fe40,462,"InternalArrayNArgumentsConstructorStub"
code-creation,Stub,2,0x252c5c820020,430,"InternalArrayNoArgumentConstructorStub"
tick,0x7fc25e779437,22060,0,0x0,4
code-creation,Stub,2,0x252c5c8201e0,546,"InternalArraySingleArgumentConstructorStub"
code-creation,Stub,2,0x252c5c820420,462,"InternalArrayNArgumentsConstructorStub"
code-creation,Stub,2,0x252c5c820600,206,"InternalArrayConstructorStub"
code-creation,Builtin,4,0x252c5c8206e0,116,"InternalArrayCode"
code-creation,Stub,2,0x252c5c820760,603,"ArrayConstructorStub_Any"
code-creation,Builtin,4,0x252c5c8209c0,123,"ArrayCode"
code-creation,Builtin,4,0x252c5c820a40,479,"StringConstructCode"
code-creation,Builtin,4,0x252c5c820c20,175,"OnStackReplacement"
code-creation,Builtin,4,0x252c5c820ce0,110,"InterruptCheck"
code-creation,Builtin,4,0x252c5c820d60,162,"OsrAfterStackCheck"
code-creation,Builtin,4,0x252c5c820e20,110,"StackCheck"
code-creation,Builtin,4,0x252c5c820ea0,203,"MarkCodeAsToBeExecutedOnce"
code-creation,Builtin,4,0x252c5c820f80,203,"MarkCodeAsExecutedOnce"
code-creation,Builtin,4,0x252c5c821060,194,"MarkCodeAsExecutedTwice"
code-creation,Builtin,4,0x252c5c821140,194,"MakeQuadragenarianCodeYoungAgainOddMarking"
code-creation,Builtin,4,0x252c5c821220,194,"MakeQuadragenarianCodeYoungAgainEvenMarking"
code-creation,Builtin,4,0x252c5c821300,194,"MakeQuinquagenarianCodeYoungAgainOddMarking"
code-creation,Builtin,4,0x252c5c8213e0,194,"MakeQuinquagenarianCodeYoungAgainEvenMarking"
